,name,description
130,EnvironmentViewDefinitionRelationship,"A EnvironmentViewDefinitionRelationship is a specialization of
            ViewDefinitionRelationship that represents an association between two
            EnvironmentDefinitionView instances. "
131,Evidence,"An Evidence is a collector of items used together to provide a single
            piece of evidence within a validation or verification. For example a document and its
            approval by a customer may be used together to provide evidence of customer acceptance.
         "
132,ExchangeContextClassLibrary," A ExchangeContextClassLibrary is a representation of a universal
            resource identifier for the OWL reference-data library that provides the context for an
            exchange of data. NOTE: Each data exchange takes place in the context of a single OWL
            class library that references any other OWL libraries that are required.
         "
133,ExitLoop,"An ExitLoop is a type of StructuredTaskElement. It signifies a point at
            which to exit from a loop. "
134,ExpandedUncertainty,"An ExpandedUncertainty is a specialization of StandardUncertainty that
            specifies the factor of an uncertainty. "
135,ExperienceGained,"An ExperienceGained is a relationship between an ExperienceInstance and
            a person or organization. "
136,ExperienceInstance,"An ExperienceInstance is a particular episode of contact with and/or
            observation of facts or events which contributes to the accumulation of knowledge or
            skill. Changing the exhaust system on a car. 2 years work on same type of milling
            machine. 100 flying hours in a Tornado jet. 5 years as Workshop Manager. The nature,
            duration and worth of the ExperienceInstance can be described using assigned properties
            or by referring to activities or tasks. "
137,ExperienceType,"An ExperienceType is a category or class of experience. welding
            mechanical design flying "
138,ExperienceTypeRelationship,"An ExperienceTypeRelationship is used to relate a compound experience to
            its component experiences. Ten years programming experience made up of five years C++
            programming experience and five years Java programming experience. "
139,ExternalAnalysisModel,"An ExternalAnalysisModel is a specialization of AnalysisModel whose
            content is provided in an external file. "
140,ExternalClass," An ExternalClass defines a relationship between a datatype and an
            non-OWL reference-data class of which instances of the datatype are members.
         "
141,ExternalGeometricModel,"An ExternalGeometricModel is a specialization of 3D GeometricModel whose
            content is provided in an external file. The set of items of the ExternalGeometricModel
            contains only one element that shall be an AxisPlacement. This AxisPlacement specifies
            the reference location and orientation with respect to which placement of the
            ExternalGeometricModel in other GeometricModels shall be defined. "
142,ExternalItem," An ExternalItem is the representation of a reference to an object or
            item that is external to the data exchange file. The location of a digital file in a
            file system. A section in a document. A definition. "
143,ExternalOwlClass," An ExternalOwlClass defines a relationship between a datatype and an
            OWL reference-data class of which instances of the datatype are members. The OWL class
            is defined and managed in an ontology external to the data exchange file.
         "
144,ExternalOwlObject," An ExternalOwlObject states that a block instance is the same as an OWL
            reference-data item. NOTE: This capability is similar in nature to the ProxyObject
            built-in property in the World Wide Web Consortium Web Ontology Language, available from
            their Web site. ProxyObject indicates that two individuals or classes have the same
            'identity'. "
145,ExternalPropertyDefinition," An ExternalPropertyDefinition is a reference to a property definition
            that is defined externally to the exchange file. A Property definition is the definition
            of a particular quality or feature of a product or activity data. A Property definition
            may reflect physics or arbitrary user defined measurements. Colour is a property of
            product and is defined by a red, green and blue values. "
146,ExternalTypeQualifier," An ExternalTypeQualifier is a reference to the specification of the
            type of a datum that is defined externally to the exchange file. "
147,ExternalUnit,An ExternalUnit is a unit quantity. 
148,File,"A File is a file stored on a computer system or in a stack of
            non-digital documents. "
149,FileRelationship,"A FileRelationship is a relationship between two instances of File. A
            service manual may contain graphics for explanatory reasons. In this case, the File
            instances that contain the graphics are referenced as related from the File instance
            that contains the body of the service manual with DocumentDefinitionRelationship
            'reference'. "
150,FunctionalBreakdown,"A FunctionalBreakdown is a specialization of Breakdown that identifies a
            partitioning of a product into a set of related functional elements so as to form
            explicit structural views that comprise the product elements. The composite - component
            view is represented by FunctionalElementUsage instances relating the functional elements
            in the breakdown which are represented by FunctionalElements. A functional breakdown
            provides a decomposition of an aircraft in terms of high-level functional processes such
            as flight, taxiing and at rest all the way down to low-level processes such as detect
            on-board fuel level, move tail rudder and provide standard tow attachment point.
         "
151,FunctionalBreakdownContext,"A FunctionalBreakdownContext is a specialization of BreakdownContext
            that is an association of a FunctionalElement to a FunctionalBreakdown of which the
            functional element is a member. A function 'provide load lifting capability' is member
            of the functional breakdown of a helicopter. "
152,FunctionalBreakdownVersion,"A FunctionalBreakdownVersion is a specialization of BreakdownVersion
            that identifies a version of a FunctionalBreakdown "
153,FunctionalElement,"A FunctionalElement is a specialization of BreakdownElement that
            identifies the elements in one or more FunctionalBreakdown instances.
         "
154,FunctionalElementDefinition,"A FunctionalElementDefinition is a specialization of
            BreakdownElementDefinition that identifies a view of a version (
            FunctionalElementVersion ) of a FunctionalElement "
155,FunctionalElementUsage,"A FunctionalElementUsage is a specialization of BreakdownElementUsage
            that is an association of a functional element to another functional element that is a
            constituent. FunctionalElement. "
156,FunctionalElementVersion,"A FunctionalElementVersion is a specialization of
            BreakdownElementVersion that identifies a version of a FunctionalElement
         "
157,FunctionValuePair,"A FunctionValuePair is a single random variable/value pair, thus
            defining a single point on the distribution curve of a numerically defined distribution.
            The distribution function for the tossing of two coins uses the number of heads as the
            random variable and the probability as value of the function, and has the form of a list
            of three pairs ((0, 0.25), (1, 0.5), (2, 0.25)) - 0, 1 and 2 being the random variable
            values, 0.25, 0.5 and 0.25 being the probability values. "
158,GeometricCompositionWithOperatorTransformation,"A GeometricCompositionWithOperatorTransformation is a specialization of
            GeometricRelationshipWithOperatorTransformation. "
159,GeometricCompositionWithPlacementTransformation,"A GeometricCompositionWithPlacementTransformation is a specialization of
            GeometricRelationshipWithPlacementTransformation. "
160,GeometricCoordinateSpace,"A GeometricCoordinateSpace is a type of ChainedGeometricModelLinkSelect
            that defines a coordinate space where geometric elements can be defined. It is either
            two-dimensional or three-dimensional. There shall be at least two units specified for
            the GeometricCoordinateSpace: one length unit and one plane angle unit. The length unit
            applies to each coordinate direction. The length unit millimetre and the angle unit
            radian are examples of units that may assigned to a GeometricCoordinateSpace. NOTE: The
            origin for coordinate values is implicitly defined as being the cartesian point whose
            coordinates are all zero. "
161,GeometricItemSpecificUsage," A GeometricItemSpecificUsage is an identification of a
            DetailedGeometricModelElement within a GeometricModel or an ExternalGeometricModel as
            being the element that describes a ShapeElement or ShapeElementRelationship of an
            ItemShape that is described by the GeometricModel or an ExternalGeometricModel. In an
            application protocol, an instance of GeometricModel describes the ItemShape of a
            product. One element of the GeometricModel - a curve - represents the boundary of a hole
            that is a ShapeElement in the product. This entity data type may be used to state that
            the curve describes the hole, in the context of the entire GeometricModel describing the
            shape of the product. "
162,GeometricModel," A GeometricModel is a model comprising geometric constructs. The
            GeometricModel is founded in a GeometricCoordinateSpace. The items of a GeometricModel
            are instances of DetailedGeometricModelElement. "
163,GeometricModelRelationship,"A GeometricModelRelationship is a type of
            ChainedGeometricModelLinkSelect. "
164,GeometricModelRelationshipWithTransformation,"A GeometricModelRelationshipWithTransformation is a specialization of
            GeometricModelRelationship. A GeometricModelRelationshipWithTransformation may be a
            GeometricRelationshipWithPlacementTransformation or a
            GeometricRelationshipWithOperatorTransformation "
165,GeometricOperatorTransformation,"A GeometricOperatorTransformation is a specialization of
            GeometricPlacementOperation. "
166,GeometricPlacement,"A GeometricPlacement is a specialization of GeometricPlacementOperation.
         "
167,GeometricPlacementModel,"A GeometricPlacementModel is a specialization of GeometricModel.
         "
168,GeometricPlacementOperation,"A GeometricPlacementOperation is a specialization of
            DetailedGeometricModelElement. A GeometricPlacementOperation may be a GeometricPlacement
            or a GeometricOperatorTransformation. "
169,GeometricRelationshipWithOperatorTransformation,"A GeometricRelationshipWithOperatorTransformation is a specialization of
            GeometricModelRelationshipWithTransformation. "
170,GeometricRelationshipWithPlacementTransformation,"A GeometricRelationshipWithPlacementTransformation is a specialization
            of GeometricModelRelationshipWithTransformation. "
171,GlobalLocationRepresentation,"A GlobalLocationRepresentation is a type of LocationRepresentation
            specified using geographic means in the global system and values, which could be
            physical or political geographic values. "
172,Hardcopy,"A Hardcopy is a specialization of File that represents a non-digital
            document. An actual stack of paper consisting of one or more sheets, on which some
            product data is written, printed or plotted. "
173,HierarchicalInterfaceConnection," A HierarchicalInterfaceConnection is a specialization of
            InterfaceConnection that provides an interconnection between components at different
            levels in an assembly. Each connection point in the assembly is represented by a
            InterfaceConnectorOccurrence. An appliance such as a television has a power lead and
            attached plug. The plug and power lead could be represented as an assembly of parts such
            as the plug pins and wires. Each connection point of the pins and wires in the assembly
            is represented by a InterfaceConnectorOccurrence and an instance of the
            HierarchicalInterfaceConnection entity data type identifies the connection of the pins
            (the parts) to the plug (the assembly) in the assembly. "
174,Identifier," An Identifier provides the identifying name or code for the activity or
            product data. "
175,IdentifierRelationship," A IdentifierRelationship is a relationship between a pair of
            Identifiers. NOTE: The meaning of the relationship is determined by classification which
            is identified by the RelationshipObject property. The possible classifications are
            subclasses of . ISO is an acronym for ""International Standard Organization"". When ISO
            and ""International Standard Organization"" are used as identifiers for the ISO
            organization, they may be related to indicate that ISO is the acronym for ""International
            Standard Organization"". "
176,IncreasingResourceEvent," A IncreasingResourceEvent is a type of ResourceEvent that increases the
            balance of a managed resource. Purchasing new stock increases an inventory.
         "
177,InformationRight," An InformationRight is a definition of what may or may not be done with
            information in the sense of legal rights and obligations. NOTE: This a general purpose
            definition of a right that may be applied to many things. The usage of the
            InformationRight is represented by InformationUsageRight. The application of that right
            to information is represented by InformationUsageRightAssignment. Copyright is an
            InformationRight. For the purposes of developing a new system, details of government
            furnished equipment may be made available to a particular project team. The team may
            copy and use the information internally, but may not pass it on, either to a third part,
            or to another team, and must destroy the information at the end of the contract.
         "
178,InformationUsageRight,"An InformationUsageRight is an application an InformationRight to a
            particular usage context. NOTE: One view of the distinction between an InformationRight
            and an InformationUsageRight is that the InformationRight represents a standard clause
            in a contract, whereas an InformationUsageRight represents the fact that the clause is
            used in a particular contract. NOTE: The context for the usage can be defined through
            the contract which defines the right, the organization that grants the right, the person
            or organization which is granted the right, and any dates such as the starting or ending
            dates for the right. The meaning of each association is identified through the roles of
            the assignments, and these are defined through reference-data. NOTE: The Approval of an
            InformationUsageRight carries the meaning that the right is granted to all information
            items in the relevant context, as opposed to the approval of an
            InformationUsageRightAssignment which is limited to particular items. NOTE:
            InformationUsageRight provides a mechanism for recording significant rights within a
            product database. The legal significance of the presence or absence of a right is
            outside the scope of this part of ISO 10303 "
179,InformationUsageRightAssignment,"An InformationUsageRightAssignment is an application of a particular
            usage right to a set of items. NOTE: If an approval is applied to this entity, it
            carries the meaning that the particular set of items is approved for the given usage.
            This approval generally indicates that the approval is exceptional, for example, where
            the information belongs to another project, and that project agrees to share some
            particular items of information. There is a further implication that the set of entities
            should not be changed once the approval is given. "
180,InformationUsageRightRelationship,"An InformationUsageRightRelationship is the relationship of one
            InformationUsageRight to another. Where one InformationUsageRight supercedes another,
            then the original right is pointed to by the relating attribute, its replacement by the
            related attribute, and the relationType attribute takes the value ""supercedes"".
         "
181,InterfaceConnection," A InterfaceConnection is an interconnection between a connected pair of
            InterfaceConnectorOccurrences. Each InterfaceConnectorOccurrence represents the place
            where a product used in an assembly can interact with other products in the assembly. An
            appliance such as a television has a power lead and attached plug. The plug and power
            lead could be represented as an assembly of parts such as the plug pins and wires. Each
            connection point of the pins and wires in the assembly is represented by a
            InterfaceConnectorOccurrence and an instance of the InterfaceConnection entity data type
            identifies the connection of the pins to the wires in the assembly. "
182,InterfaceConnector," An InterfaceConnector is a specialization of Product that identifies a
            part of a product with which one or more other products or the environment interacts.
            NOTE: This is sometimes referred to as a ""port"". A computer has a socket to which to
            connect a network cable. An instance of the InterfaceConnector entity data type
            identifies the role of the socket in the interface and is the subject of a specification
            that defines the necessary geometrical and electrical attributes to ensure a functioning
            interface between the computer and network hardware. "
183,InterfaceConnectorAsPlanned,"An InterfaceConnectorAsPlanned is a specialization of
            InterfaceConnectorVersion that identifies an individual that is the subject of a plan to
            realize an InterfaceConnector. Company Acme Limited is planning to produce an aircraft
            with serial number 1234 next month. This aircraft has connectors on each engine for fuel
            pipes. The company wishes to plan when each connector will be realized and then identify
            a date on which an inspector can test all the realized connectors. "
184,InterfaceConnectorAsRealized,"An InterfaceConnectorAsRealized is a specialization of
            InterfaceConnectorVersion that identifies an individual that is a realized
            InterfaceConnector. Company WeFlySafest Corporation owns and operates an aircraft with
            serial number 1234. When landing at Heathrow airport, the pilot reports a loss of fuel
            pressure on engine number 4 with serial number A9876 and recommends that an inspector
            tests the realized connector on the engine. "
185,InterfaceConnectorDefinition,"An InterfaceConnectorDefinition is a specialization of
            ProductViewDefinition that identifies a view of an InterfaceConnectorVersion. A
            reliability engineer assesses the likely failure modes of design version 3.8 for the
            connector between a brake unit and the hydraulic control system. The engineer generates
            a set of data that is a specific view of the connector. An instance of the
            InterfaceConnectorDefinition entity data type collects these data together.
         "
186,InterfaceConnectorDesign,"An InterfaceConnectorDesign is a specialization of
            InterfaceConnectorVersion that identifies a design version of an InterfaceConnector.
            BuildAWidget Incorporated creates design version 2.10 for an electrical supply
            connector. "
187,InterfaceConnectorDesignToPlanned,"An InterfaceConnectorDesignToPlanned is a relationship between a design
            version of an InterfaceConnector and a planned individual that is to conform to the
            design. BuildAWidget Incorporated plans production of pump serial number 30301 with an
            electrical supply connector that is to conform to design version 2.10.
         "
188,InterfaceConnectorDesignToRealized,"An InterfaceConnectorDesignToRealized is a relationship between a design
            version of an InterfaceConnector and a realized individual that conforms to the design.
            BuildAWidget Incorporated builds pump serial number 30301 with an electrical supply
            connector that conforms to design version 2.11. "
189,InterfaceConnectorOccurrence,"A InterfaceConnectorOccurrence is an occurrence of a
            InterfaceConnectorDefinition. The InterfaceConnectorOccurrence represents the place
            where a product used in an assembly can interact with other products in the assembly.
            The interaction is represented by a InterfaceConnection. "
190,InterfaceConnectorPlannedToRealized,"An InterfaceConnectorPlannedToRealized is a relationship between a
            realized individual of an InterfaceConnector and a corresponding planned individual.
            BuildAWidget Incorporated builds pump serial number 30302 with an electrical supply
            connector that was previously planned. "
191,InterfaceConnectorVersion,"An InterfaceConnectorVersion is a specialization of ProductVersion that
            identifies a version of an InterfaceConnector. "
192,InterfaceDefinitionConnection,"A InterfaceDefinitionConnection is an interconnection between a
            connected pair of InterfaceConnectorDefinitions or, if the point of interconnection is
            not specified, the interconnection between a pair of views ( ProductViewDefinitions) on
            products A socket in the wall provides access to the domestic electricity supply. An
            appliance such as a television has a power lead and plug that fits into the socket. An
            instance of the InterfaceDefinitionConnection entity data type identifies this fitting
            of the plug into the socket. "
193,InterfaceDefinitionFor,"An InterfaceDefinitionFor is a relationship between an
            InterfaceSpecification and an item that conforms to the specification. The infrared
            transmitter in a television remote control conforms to the specification that has the
            identifier 2345/XYZ/001. An instance of the InterfaceDefinitionFor entity data type is
            necessary to identify this relationship. "
194,InterfaceSpecification,"An InterfaceSpecification is a specialization of Product that provides a
            definition of necessary attributes for one or more items that participate in an
            interface. BSI develops a standard for connecting domestic electrical equipment to the
            electricity supply. "
195,InterfaceSpecificationDefinition,"An InterfaceSpecificationDefinition is a specialization of
            ProductViewDefinition that provides a view of an InterfaceSpecification. When developing
            a BSI standard for connecting domestic electrical equipment to the electricity supply,
            collected comments from experts form a new view on a version of the standard.
         "
196,InterfaceSpecificationVersion,"An InterfaceSpecificationVersion is a specialization of ProductVersion
            that identifies a version of an InterfaceSpecification. In 1999, BSI issues a new
            version of a standard for connecting domestic electrical equipment to the electricity
            supply. "
197,InZone,"An InZone is a relationship between a ZoneElement and an item that
            exists within the zone. A pump is in the starboard engine room of a ship.
         "
198,ItemAssumed," An ItemAssumed is an association between an Assumption and the item
            that is being assumed. A facility is assumed to exist at a given location. The facility
            shall be represented by a ResourceItemAssignment, the location by a Location, and the
            existence of the facility at the location, by a LocationAssignment assigning a location
            to the resource. "
199,ItemDesignAssociation,"An ItemDesignAssociation is the association of a ProductConfiguration
            with a ProductViewDefinition or a ProductVersion. It specifies the design that
            corresponds to the ProductConfiguration. If the design is a ProductViewDefinition, the
            ItemDesignAssociation represents the statement that, in the considered definition
            context, the product version, that is, the ProductViewDefinition is a valid way to
            implement the ProductConfiguration. NOTE: This association might not be valid in all
            definition contexts of the product version. If the design is a ProductVersion, the
            ItemDesignAssociation represents the statement that, in all definition contexts, the
            ProductVersion is a valid way to implement the ProductConfiguration. NOTE: The
            association might not be valid for other versions of the product. "
200,ItemShape," AnItemShape is a specialization of an ItemShapeObject  that represents
            the shape of a ShapeableItemSelect. "
201,ItemShapeObject," AnItemShapeObject is an abstract generalization of instances that
            represents the shape of a ShapeableItemSelect. NOTE: Only non-abstract specializations
            of the ItemShapeObject can be instantiated. "
202,ItemUsageEffectivity,"An ItemUsageEffectivity is an effectivity domain that constrains the use
            of a product with or within another product, in the context of a ProductConfiguration.
            The effectivityDomain attribute identifies a domain of effectivity. The
            itemUsageRelationship attribute identifies a relationship which characterizes the use of
            the product with or within another product. This relationship may be an
            assembly-component relationship or a make-from relationship. The resolvedConfiguration
            attribute identifies an association between a ProductConfiguration and a product that
            implements it. This attribute establishes the context in which the itemUsageRelationship
            is considered and constrained. When the effectivity domain is a range of serial numbers,
            the serial numbers considered are those of the ProductConfiguration. When the
            effectivity domain is defined using a production lot number, the production lot
            considered is one of the ProductConfiguration. When the effectivity domain is an
            interval of time, the interval of time considered is related to the production of the
            ProductConfiguration. NOTE: When no effectivity constraint is applied to a
            ViewDefinitionUsage, the validity or applicability status of this ViewDefinitionUsage is
            unknown. "
203,Justification,"A Justification is the identification and description of the reasons for
            something. Justification entities may be associated with the data to which they apply. A
            justification may be provided for a product design. Similarly, a justification may be
            provided for why an activity is needed or was undertaken. "
204,JustificationAssignment,"A JustificationAssignment is the association between a Justification and
            the item for which the Justification is provided. The item can be an activity or a
            product design. "
205,JustificationRelationship,"A JustificationRelationship is an association between two
            Justifications. "
206,JustificationSupportAssignment,"A JustificationSupportAssignment is the association between a
            Justification and the item providing evidential support for the Justification The
            support item can be the results from an analysis, a report, or professional judgment.
         "
207,LifeCycleStage," A LifeCycleStage represents a point, period, or step in a lifecycle. It
            is referenced by ViewDefinitionContext. "
208,Location,"A Location is a place or position where an activity or event can occur
            or a product or resource can exist. "
209,LocationAssignment,"A LocationAssignment is a relationship between a product, event, or
            person and a location. There may be distinct assignment for each qualification. for
            example planned, scheduled or actual. Each assignment may have a start and end date or
            time. A location may have multiple assignments. "
210,LocationRelationship,"A LocationRelationship is a relationship between two locations. Location
            B, which is in reference to location A or Location B (UK), which is a refinement of
            Location A (Europe). "
211,LocationRepresentation,"A LocationRepresentation is a means of representing a location.
         "
212,LoopingElement,"A LoopingElement is a specialization of TaskElement. It invokes a
            specified number of repetitions of a further TaskElement. "
213,LotEffectivity,"A LotEffectivity is a specialization of Effectivity for which the domain
            of applicability is defined as a given batch of items. "
214,MakeFromRelationship,"A MakeFromRelationship is a specialization of ViewDefinitionUsage
            established between two instances of PartViewDefinition. It specifies that, in the
            context of the definition of the relating part version, the relating part version is
            considered as resulting from the manufacturing transformation of the related part
            version. NOTE: The related part version may identify a raw material or a semi-finished
            part. "
215,ManagedResource," A ManagedResource is a representation of a resource that is provided
            with resource management capabilities. The role of a managed resource is determined by
            classification. A managed resource can be classified as ""Stock line"".
         "
216,ManagedResourceRelationship," A ManagedResourceRelationship is an association between two managed
            resources. The meaning of the relationship is determined by classification. A managed
            resource relationship can be classified as ""Alternative"" or ""Preferred"".
         "
217,Market,"A Market is the identification of a marketing segment for products.
         "
218,MeasureQualification,"A MeasureQualification is a means to provide information about
            measurements in which there is an associated uncertainty. The uncertainty may be
            specified as precision, qualitative uncertainty, or expanded uncertainty, and the type
            of the related datum shall be included. The uncertainty is defined in clause 2 of ""The
            Guide to the Expression of Uncertainty in Measurement"". "
219,Message,"A Message is a collection of information, brought together by an
            originator (the message definer) for some particular purpose, generally the fulfillment
            of a process. A Message is an historical record, intended to be sent using an Envelope
            and in consequence, is not versioned. NOTE: The same Message can be sent several times
            using different Envelope. Once it has been sent once, it cannot be further changed.
            However it should not remain unsent, since that is to confuse its functions and
            therefore its meaning with other entities such as one of the types of document.
         "
220,MessageRelationship,"A MessageRelationship is a link between two related messages. The
            meaning of the association depends on MessageRelationship.role. If Message=2 replaces
            Message=1, then MessageRelationship.related points to Message=2 and
            MessageRelationship.relating points to Message=1 with
            MessageRelationship.role=""replaces"". "
221,NextAssemblyViewUsage,"A NextAssemblyViewUsage is a specialization of AssemblyViewRelationship.
            It establishes a relationship between a component and its immediate parent assembly in a
            product structure. "
222,NumericalContext," A NumericalContext is a context in which a NumericalValue is recorded.
            The context may represent the organization, technique or system used to establish the
            NumericalValue. "
223,NumericalValue,"A NumericalValue is a specialization of a ValueWithUnit representing a
            quantity expressed with a numerical value and a unit. "
224,Observation,"An Observation is an historical record of something that has occurred
            during the life of a product or its support environment. Its use is restricted to
            observations not directly represented in the data model, and should not be used where
            some other reporting data structure is defined. "
225,ObservationAssignment," An ObservationAssignment is an association of an Observation with any
            item that an observation can be made about, or any item that can be used as part of the
            observation. "
226,ObservationConsequence," An ObservationConsequence is an association of an observation to the
            consequences that follow from it, where those consequences are in the form of a
            WorkRequest. NOTE: One of the uses of ObservationConsequence is to close one of the
            feedback loops from the use of a product to requests for its enhancements.
         "
227,ObservationRelationship," An ObservationRelationship is a relationship between two observations.
            The nature of this relationship is identified by the role. Where there is a structural
            relationship between Observation, the semantics of the structure are identified by the
            classification of the ObservationRelationship against reference-data. The Observation of
            a persistent fault is composed of a series of Observation of occurrences of the same
            fault. That is, ObservationRelationship.related points to the composite Observation,
            while ObservationRelationship.relating points to one actual Observation of the
            occurrence. The ObservationRelationship.role of the relationship is ""observed instance"",
            while it is classified as ""is composed of"". In this example, the component Observation
            will apply to ProductAsRealized and the consequence will be to rectify the individual
            faults, while the composite Observation will apply to a ProductVersion and the
            consequence will be a design change. "
228,ObservedEnvironment,"An ObservedEnvironment is a specialization of Product that represents a
            record of observations about the environment in which a product is or has been
            operating. "
229,ObservedEnvironmentAssignment,"An ObservedEnvironmentAssignment is an assignment of a product to the
            environment in which is or has operated. "
230,ObservedEnvironmentToDefinition,"An ObservedEnvironmentToDefinition is a relationship between a record of
            a set of observations about an environment, represented by an ObservedEnvironment, and a
            typical environment, represented by an EnvironmentDefinition. The typical environment is
            the expected environment about which observations have been made. "
231,ObservedEnvironmentToDefinitionVersion,"An ObservedEnvironmentToDefinitionVersion is a relationship between a
            version of the record of a set of observations about an environment, represented by an
            ObservedEnvironmentVersion, and a version of the typical environment, represented by
            EnvironmentDefinitionVersion. The typical environment is the expected environment about
            which observations have been made. "
232,ObservedEnvironmentToDefinitionView,"An ObservedEnvironmentToDefinitionView is a relationship between a view
            of the record of a set of observations about an environment, represented by an
            ObservedEnvironmentView, and a view of the typical environment, represented by
            EnvironmentDefinitionView. The typical environment is the expected environment about
            which observations have been made. "
233,ObservedEnvironmentVersion,"An ObservedEnvironmentVersion is a specialization of ProductVersion that
            identifies a particular version of an ObservedEnvironment. "
234,ObservedEnvironmentView,"An ObservedEnvironmentView is a specialization of ProductViewDefinition
            that provides a view of a version of an observed environment relevant for one or more
            application domains. This view collects the characteristics of the observations on the
            environment. "
235,ObservedEnvironmentViewDefinitionRelationship,"An ObservedEnvironmentViewDefinitionRelationship is a specialization of
            ViewDefinitionRelationship that represents an association between two
            ObservedEnvironmentView instances. "
236,Organization,"An Organization is an administrative structure in which persons are
            active. "
237,OrganizationalLocationIdentification,"An OrganizationalLocationIdentification is location that is defined by
            an identification which is specific in an organization context. "
238,OrganizationBasedLocationRepresentation,"An OrganizationBasedLocationRepresentation is a specialization of
            LocationRepresentation that specifies a location in the context of an organization. The
            location ""Room 99"" in ""The Administration Building"" of a particular university might be
            represented using one instance of OrganizationBasedLocationRepresentation with two
            instances of OrganizationalLocationIdentification and one instance of Organization.
         "
239,OrganizationOrganizationTypeRelationship,"An OrganizationOrganizationTypeRelationship is a relationship between an
            Organization organization and an OrganizationType. "
240,OrganizationOrPersonInOrganizationAssignment,"An OrganizationOrPersonInOrganizationAssignment is an association of an
            organization or a person in an organization with activity or product data.
         "
241,OrganizationRelationship,"An OrganizationRelationship is a relationship between two instances of
            Organization. A team belongs to a department which itself belongs to a company. Such an
            organizational structure can be described up using instances of
            OrganizationRelationship. "
242,OrganizationType,"An OrganizationType is a recognized kind of Organization. legal entity
            change control board sales organization manufacturing organization department
         "
243,OrStateCauseEffectDefinition,"An OrStateCauseEffectDefinition is a specialization of
            StateCauseEffectDefinition. It relates one or more StateDefinition entities that are
            causes to a StateDefinition that is the effect. At least one cause must exist prior to
            the effect. "
244,ParameterizedDistribution," A ParameterizedDistribution is a specialization of
            ProbabilityDistribution that is used to link a named probability distribution to the
            parameters that define it. NOTE: The ParameterizedDistribution of this entity is used to
            discriminate between alternative parameterizations of the same distribution. NOTE: To
            calculate a value using a ParameterizedDistribution it is necessary to know the general
            distribution function, the value of the distribution function parameters, and the
            specific random variable value for which the probability evaluation is required. The
            Probability Distribution module does not define the formula for the distribution
            function, and it is assumed that this is defined externally, either through reference
            information or via a ""formula"" module. This entity provides the distribution function
            parameters. The value of the random variable for which the probability is calculated is
            provided by the ProbabilityDerivationParameter. "
245,Part," A Part is a specialization of Product that collects the definitional
            information of the versions of either a part or of a non-countable material. NOTE: A
            Part does not represent an actual physical object that is or was existing in the real
            world. NOTE: A complex instance of the Part entity and of the Document entity may be
            created in order to represent a document that is a component of a manufactured product,
            for example a user manual of a car. "
246,PartialDocumentAssignment,"A PartialDocumentAssignment is a specialization of DocumentAssignment. A
            PartialDocumentAssignment identifies a specific portion of the contents of a document.
            It assigns this portion to the product data for which it is relevant.
         "
247,PartVersion,"A PartVersion is a specialization of ProductVersion that identifies a
            version of a part. A PartVersion serves as the collector of the data characterizing a
            realizable object in various application contexts. NOTE: A PartVersion is expected to be
            functionally and physically interchangeable with the other versions of the same Part.
         "
248,PartViewDefinition,"A PartViewDefinition is a specialization of ProductViewDefinition that
            defines a characterization view of a version of a Part. "
249,Person,A Person is an individual human being. 
250,PersonInOrganization,"A PersonInOrganization is the identification of a Person and of his role
            in an Organization "
251,PersonOrOrganizationOrPersonInOrganizationInPosition,"A PersonOrOrganizationOrPersonInOrganizationInPosition is a Person,
            Organization, or PersonInOrganization that holds a Position. A person may hold more than
            one position within an organization or organizations. A person can hold two positions in
            an organization: Production Manager and Safety Officer. A position in an organization
            can be held by more than one person or organization. Two people can hold the same
            position in a job-share scheme. "
252,PersonOrOrganizationOrPersonInOrganizationInPositionRelationship," A PersonOrOrganizationOrPersonInOrganizationInPositionRelationship is a
            specialization of an RelationshipObject that is a relationship between one Organization,
            Person, or PersonInOrganization and another. Examples of the relationship are: successor
            job-share NOTE: The meaning of the relationship is determined by classification which is
            identified by the RelationshipObject property. The possible classifications are
            subclasses of . "
253,PhysicalBreakdown,"A PhysicalBreakdown is a specialization of Breakdown that identifies a
            partitioning of a product into a set of related physical elements so as to form
            explicit, parent-child views that comprise the product elements. The parent-child view
            is represented by PhysicalElementUsage instances relating the physical elements in the
            breakdown which are represented by PhysicalElements. A physical breakdown might provide
            a decomposition of an automobile in terms such as body, roof, bonnet, bumpers and this
            breakdown might be different from, and orthogonal to, a parts decomposition.
         "
254,PhysicalBreakdownContext,"A PhysicalBreakdownContext is a specialization of BreakdownContext that
            is a membership relationship between a PhysicalElement and a PhysicalBreakdown of which
            the physical element is a member. A wheel is a member of the physical breakdown of an
            automobile. "
255,PhysicalBreakdownVersion,"A PhysicalBreakdownVersion is a specialization of BreakdownVersion that
            identifies a version of a PhysicalBreakdown An engineer modifies the current physical
            breakdown for an aircraft on the basis of a tail re-design. "
256,PhysicalDocumentDefinition,"A PhysicalDocumentDefinition is a specialization of DocumentDefinition.
            A physical document definition may consist of one or many component hardcopy files.
            Paper plots of technical drawings, micro fiche, or paper documents such as calculations
            or test reports are examples of PhysicalDocumentDefinition. "
257,PhysicalElement,"A PhysicalElement is a specialization of BreakdownElement that
            identifies the elements in one or more PhysicalBreakdown instances. "
